Process(V) Name                 Module Base Module Name          Result
0x85d1b9b8 svchost.exe          0x075a20000 MSASN1.dll           OK: module.524.df11b9b8.75a20000.dll
0x85d1b9b8 svchost.exe          0x070c30000 NTDSAPI.dll          OK: module.524.df11b9b8.70c30000.dll
0x85d1b9b8 svchost.exe          0x070a40000 wbemsvc.dll          OK: module.524.df11b9b8.70a40000.dll
0x85d1b9b8 svchost.exe          0x075a60000 KERNELBASE.dll       OK: module.524.df11b9b8.75a60000.dll
0x85d1b9b8 svchost.exe          0x075ad0000 CRYPT32.dll          OK: module.524.df11b9b8.75ad0000.dll
0x85d1b9b8 svchost.exe          0x077c70000 CLBCatQ.DLL          OK: module.524.df11b9b8.77c70000.dll
0x85d1b9b8 svchost.exe          0x070c90000 FastProx.dll         OK: module.524.df11b9b8.70c90000.dll
0x85d1b9b8 svchost.exe          0x075150000 umpnpmgr.dll         OK: module.524.df11b9b8.75150000.dll
0x85d1b9b8 svchost.exe          0x0764d0000 msvcrt.dll           OK: module.524.df11b9b8.764d0000.dll
0x85d1b9b8 svchost.exe          0x076470000 WLDAP32.dll          OK: module.524.df11b9b8.76470000.dll
0x85d1b9b8 svchost.exe          0x0776e0000 IMM32.DLL            OK: module.524.df11b9b8.776e0000.dll
0x85d1b9b8 svchost.exe          0x0750f0000 umpo.dll             OK: module.524.df11b9b8.750f0000.dll
0x85d1b9b8 svchost.exe          0x075d50000 USER32.dll           OK: module.524.df11b9b8.75d50000.dll
0x85d1b9b8 svchost.exe          0x075910000 CRYPTBASE.dll        OK: module.524.df11b9b8.75910000.dll
0x85d2a030 VBoxService.ex       0x000f50000 VBoxService.exe      OK: module.584.df12a030.f50000.dll
